Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL
2002-09-11,42.945001171933,11.685103156895002,,5.16,12.854222248373,3.230244478974185,9.554560571495703,8.24,17.14470279372,2.4052281642774,9.330071076518001,34.1845657277,22.206114506134,10.526973786295,32.262968286036,1.0,5.3667303957576,11.643041802988998,25.376227992338,3.02,3.12,,25.281769471108998,15.81288618258,5.658786386385901,25.432200311842,
2002-09-12,42.390424885612,11.567071811876,,5.11,12.854222248373,3.09312762808034,9.190909413143675,7.64,16.995120274451,2.3591215540996,8.931641979790198,33.319975543925,21.874459958249997,10.417815276520999,31.46763251907,0.96,5.3149915400579015,11.418303102424,25.299598267855,3.0025,3.01,,25.449918955071997,15.614729714126,5.435129591114402,25.302757020675998,
2002-09-13,41.523899438237,11.385485127231,,5.1,12.420490822815001,3.083986504687416,10.346622683522718,7.21,16.982389847279002,2.4282814693663,8.936195455181402,33.200263056941,22.184004202942,10.219965477557,31.426136739924,0.92,5.2561973858537,11.410417533982999,25.346755021383,3.0375,3.25,,25.281769471108998,15.049983779034,5.572557260498098,25.554830798211004,
2002-09-16,41.281272312971,11.594309814573,,4.92,12.735931859584,3.0474220111157244,10.062675888645108,7.03,17.011033308416,2.2669083337439,8.9339187174858,32.967488776694005,22.346146426352,9.953891609983302,31.184078028239004,0.91,5.3008809430489015,11.426188670864999,25.299598267855,2.9875,3.12,,25.0839465488,14.782472546622,5.5752519206821,25.275505801483003,
2002-09-17,40.449407883491,11.679050267407,,4.78,12.728045833664998,3.0165707196646085,9.943119343433484,6.83,17.154250614099,2.3437526840403,8.7540564395344,31.790315988016,22.043972282724,10.069872526618001,30.789868126352,0.94,5.2726597490309,11.256648949385,25.199390166608,3.0225,3.13,,25.004817379876,15.396757598828001,5.456686872586402,25.186939339106,
2002-09-18,41.038645187705995,12.232889655574,,4.47,12.530895185683999,3.0908423472321087,9.928174775282027,6.78,16.756424764978,2.328383813981,8.9908371598755,31.544240320327,22.073452686981,10.063050119757,30.77603619997,0.91,5.133905545109,11.079223659465,25.175811789843998,3.25,3.21,,25.469701247301998,15.119338542992999,5.470160173506299,25.159688119913,
2002-09-19,40.622712972966,12.136043423763,,4.25,11.119296546139,2.9491549346418013,9.7787290937675,6.27,16.438164085681,2.1132196331511,8.8086981442285,29.861614808827,21.808129048673,9.599126453219,29.517330899207,0.9,4.9833925103463,10.590318416129,24.993079369922,2.9875,3.08,,25.044381964338,14.861735134003998,5.227640756946901,24.737294222421998,
2002-09-20,41.419916384552,12.650539030257,,4.15,11.537255919859,2.886309711315456,9.745103815426726,6.4,16.485903187576,2.243855028655,8.9020443897476,30.061135620467,21.830239351865,9.5309023846104,29.724809794937002,0.91,5.0092619381962,10.677059668979,24.916449645439002,3.0,3.18,,24.856450188144002,14.673486488973,5.3084805624667,24.328525934527,
2002-09-23,40.726696026651,12.620274582816,,3.98,11.639774256809002,2.8268924092614562,9.421097806218167,5.98,16.068981697697,1.9518464975286,8.8701700620093,29.216497517856997,21.808129048673,9.107913159237599,29.123120997320004,0.9,4.8728595004425,10.637631826775,24.993079369922,2.795,2.9,,24.530042366334,13.950215379118,5.2680606597068,24.355777153720002,
2002-09-24,39.20161123927,12.741332372579,,3.9,10.882715768561,2.91487572191834,9.760057938928664,5.75,15.645694994231999,1.859633277173,8.3670110312845,29.662093997187,20.835275708212,9.0055770563248,28.044230739523,0.89,4.5765369632534005,10.211811130966,24.727822631326,2.825,2.72,,23.995920476099,14.326712669179,5.0982970681153,23.674496673895998,
2002-09-25,39.27093327506,13.255827979073,,4.049,11.237586934927,2.9708651026999937,9.884675634778107,5.93,16.851902968767,1.9211087574101,8.5081687684109,30.067786314189,21.314332277378,9.599126453219,28.694331279478,0.92,4.5012804458721,10.274895678493,24.621719935888,2.9225,2.9,,24.223416836755,14.405975256561,5.206083475475,24.00832410901,
